rebalance_at,visible_disclosures,accepted_disclosures,rejected_disclosures,selected_politicians,targets,orders,avg_filing_lag_days,source,production_safe,rejected_reason_counts
2023-05-19 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alpaca,False,{}
2023-05-26 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alpaca,False,{}
2023-06-02 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alpaca,False,{}
2023-06-09 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,alpaca,False,{}
2023-06-16 04:00:00+00:00,1.0,1.0,0.0,0.0,0.0,0.0,9.0,alpaca,False,{}
2023-06-23 04:00:00+00:00,1.0,1.0,0.0,0.0,0.0,0.0,9.0,alpaca,False,{}
2023-06-30 04:00:00+00:00,1.0,1.0,0.0,0.0,0.0,0.0,9.0,alpaca,False,{}
2023-07-07 04:00:00+00:00,1.0,1.0,0.0,0.0,0.0,0.0,9.0,alpaca,False,{}
2023-07-14 04:00:00+00:00,1.0,1.0,0.0,0.0,0.0,0.0,9.0,alpaca,False,{}
2023-07-21 04:00:00+00:00,1.0,1.0,0.0,0.0,0.0,0.0,9.0,alpaca,False,{}
2023-07-28 04:00:00+00:00,1.0,1.0,0.0,0.0,0.0,0.0,9.0,alpaca,False,{}
2023-08-04 04:00:00+00:00,1.0,1.0,0.0,0.0,0.0,0.0,9.0,alpaca,False,{}
2023-08-11 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-08-18 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-08-25 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-09-01 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-09-08 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-09-15 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-09-22 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-09-29 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-10-06 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-10-13 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-10-20 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-10-27 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-11-03 04:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-11-10 05:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-11-17 05:00:00+00:00,2.0,2.0,0.0,0.0,0.0,0.0,23.0,alpaca,False,{}
2023-11-24 05:00:00+00:00,5.0,5.0,0.0,0.0,0.0,0.0,14.4,alpaca,False,{}
2023-12-01 05:00:00+00:00,5.0,5.0,0.0,0.0,0.0,0.0,14.4,alpaca,False,{}
2023-12-08 05:00:00+00:00,5.0,5.0,0.0,0.0,0.0,0.0,14.4,alpaca,False,{}
2023-12-15 05:00:00+00:00,5.0,4.0,1.0,0.0,0.0,0.0,15.75,alpaca,False,"{""outside_lookback"": 1}"
