politician_id,politician_name,trade_date,published_at,symbol,asset_type,side,amount_bucket,amount_midpoint,source_url,filing_delay_days
S001214,Greg Steube,2026-03-18T00:00:00+00:00,2026-04-15T00:00:00+00:00,IONQ,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003797363,27
S001214,Greg Steube,2026-04-08T00:00:00+00:00,2026-04-15T00:00:00+00:00,MAR,us_equity,buy,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003797364,6
S001214,Greg Steube,2025-07-10T00:00:00+00:00,2025-07-17T00:00:00+00:00,ACF,us_equity,buy,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003788320,6
S001214,Greg Steube,2025-02-19T00:00:00+00:00,2025-04-07T00:00:00+00:00,SNV,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003783347,44
S001214,Greg Steube,2024-03-28T00:00:00+00:00,2024-04-08T00:00:00+00:00,SNV,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003771796,9
S001214,Greg Steube,2024-02-16T00:00:00+00:00,2024-03-18T00:00:00+00:00,SNV,us_equity,buy,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003771590,28
S001214,Greg Steube,2023-07-03T00:00:00+00:00,2023-08-10T00:00:00+00:00,SNV,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003765880,37
L000560,Rick Larsen,2026-01-07T00:00:00+00:00,2026-01-15T00:00:00+00:00,DRI,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003797365,7
L000560,Rick Larsen,2026-01-07T00:00:00+00:00,2026-01-15T00:00:00+00:00,ESS,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003797366,7
L000560,Rick Larsen,2026-01-07T00:00:00+00:00,2026-01-15T00:00:00+00:00,META,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003797367,7
L000560,Rick Larsen,2026-01-07T00:00:00+00:00,2026-01-15T00:00:00+00:00,MDLZ,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003797368,7
L000560,Rick Larsen,2026-01-07T00:00:00+00:00,2026-01-15T00:00:00+00:00,VRSK,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003794741,7
L000560,Rick Larsen,2026-01-07T00:00:00+00:00,2026-01-15T00:00:00+00:00,WM,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003794742,7
L000560,Rick Larsen,2025-10-06T00:00:00+00:00,2025-10-17T00:00:00+00:00,ABT,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003791957,10
L000560,Rick Larsen,2025-10-06T00:00:00+00:00,2025-10-17T00:00:00+00:00,AEP,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003791958,10
L000560,Rick Larsen,2025-10-06T00:00:00+00:00,2025-10-17T00:00:00+00:00,CL,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003791959,10
L000560,Rick Larsen,2025-10-06T00:00:00+00:00,2025-10-17T00:00:00+00:00,ODFL,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003791960,10
L000560,Rick Larsen,2025-10-06T00:00:00+00:00,2025-10-17T00:00:00+00:00,WMT,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003791961,10
L000560,Rick Larsen,2025-10-06T00:00:00+00:00,2025-10-17T00:00:00+00:00,ZTS,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003791962,10
L000560,Rick Larsen,2025-04-09T00:00:00+00:00,2025-04-16T00:00:00+00:00,AXP,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003784290,6
L000560,Rick Larsen,2025-04-09T00:00:00+00:00,2025-04-16T00:00:00+00:00,NEE,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003784291,6
L000560,Rick Larsen,2025-01-07T00:00:00+00:00,2025-01-15T00:00:00+00:00,GOOGL,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003780547,7
L000560,Rick Larsen,2025-01-07T00:00:00+00:00,2025-01-15T00:00:00+00:00,BAH,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003780548,7
L000560,Rick Larsen,2025-01-07T00:00:00+00:00,2025-01-15T00:00:00+00:00,BR,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003780549,7
L000560,Rick Larsen,2025-01-07T00:00:00+00:00,2025-01-15T00:00:00+00:00,CTAS,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003780550,7
L000560,Rick Larsen,2025-01-07T00:00:00+00:00,2025-01-15T00:00:00+00:00,CMCSA,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003780551,7
K000398,Thomas Kean Jr,2026-03-31T00:00:00+00:00,2026-04-14T00:00:00+00:00,AMCR,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003797354,13
K000398,Thomas Kean Jr,2026-03-26T00:00:00+00:00,2026-04-14T00:00:00+00:00,CB,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003797355,18
K000398,Thomas Kean Jr,2026-03-26T00:00:00+00:00,2026-04-14T00:00:00+00:00,FCNCA,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003797356,18
K000398,Thomas Kean Jr,2026-03-26T00:00:00+00:00,2026-04-14T00:00:00+00:00,JNJ,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003797357,18
K000398,Thomas Kean Jr,2026-03-26T00:00:00+00:00,2026-04-14T00:00:00+00:00,LIN,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003797358,18
K000398,Thomas Kean Jr,2026-03-26T00:00:00+00:00,2026-04-14T00:00:00+00:00,PEP,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003797359,18
K000398,Thomas Kean Jr,2026-03-26T00:00:00+00:00,2026-04-14T00:00:00+00:00,SPGI,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003797360,18
K000398,Thomas Kean Jr,2026-03-10T00:00:00+00:00,2026-04-14T00:00:00+00:00,WAT,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003797361,34
K000398,Thomas Kean Jr,2026-02-05T00:00:00+00:00,2026-03-18T00:00:00+00:00,GOOGL,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003795731,252
K000398,Thomas Kean Jr,2026-02-05T00:00:00+00:00,2026-03-18T00:00:00+00:00,FCNCA,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003795732,252
K000398,Thomas Kean Jr,2026-02-18T00:00:00+00:00,2026-03-18T00:00:00+00:00,LIN,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003795733,239
K000398,Thomas Kean Jr,2026-02-13T00:00:00+00:00,2026-03-18T00:00:00+00:00,WAT,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003795736,244
K000398,Thomas Kean Jr,2026-01-29T00:00:00+00:00,2026-02-20T00:00:00+00:00,ABT,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003795254,21
K000398,Thomas Kean Jr,2026-01-07T00:00:00+00:00,2026-02-20T00:00:00+00:00,GM,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003795255,43
K000398,Thomas Kean Jr,2026-01-23T00:00:00+00:00,2026-02-20T00:00:00+00:00,JNJ,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003795256,27
K000398,Thomas Kean Jr,2026-01-23T00:00:00+00:00,2026-02-20T00:00:00+00:00,MKL,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003795257,27
K000398,Thomas Kean Jr,2026-01-23T00:00:00+00:00,2026-02-20T00:00:00+00:00,MSFT,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003795258,27
K000398,Thomas Kean Jr,2026-01-23T00:00:00+00:00,2026-02-20T00:00:00+00:00,SYK,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003795259,27
K000398,Thomas Kean Jr,2025-12-02T00:00:00+00:00,2026-01-19T00:00:00+00:00,SNREY,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003794835,45
K000398,Thomas Kean Jr,2025-11-20T00:00:00+00:00,2025-12-19T00:00:00+00:00,JNJ,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003794837,29
K000398,Thomas Kean Jr,2025-11-20T00:00:00+00:00,2025-12-19T00:00:00+00:00,SYK,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003794838,29
K000398,Thomas Kean Jr,2025-11-26T00:00:00+00:00,2025-12-19T00:00:00+00:00,TXN,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003794245,23
K000398,Thomas Kean Jr,2025-10-31T00:00:00+00:00,2025-11-18T00:00:00+00:00,FISV,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003794246,17
K000398,Thomas Kean Jr,2025-07-21T00:00:00+00:00,2025-08-21T00:00:00+00:00,ABT,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003791931,30
K000398,Thomas Kean Jr,2025-07-29T00:00:00+00:00,2025-08-21T00:00:00+00:00,ADBE,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/20003791932,22
K000398,Thomas Kean Jr,2025-07-29T00:00:00+00:00,2025-08-21T00:00:00+00:00,CHKP,us_equity,buy,15K–50K,32500.0,https://www.capitoltrades.com/trades/20003791933,22
C001047,Shelley Moore Capito,2026-03-28T00:00:00+00:00,2026-04-12T00:00:00+00:00,MA,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064889,15
C001047,Shelley Moore Capito,2026-03-12T00:00:00+00:00,2026-04-05T00:00:00+00:00,PNC,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064820,23
C001047,Shelley Moore Capito,2026-03-31T00:00:00+00:00,2026-04-05T00:00:00+00:00,FDS,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064821,4
C001047,Shelley Moore Capito,2026-03-26T00:00:00+00:00,2026-04-05T00:00:00+00:00,FDS,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064822,9
C001047,Shelley Moore Capito,2026-03-25T00:00:00+00:00,2026-04-05T00:00:00+00:00,FDS,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064823,10
C001047,Shelley Moore Capito,2026-03-11T00:00:00+00:00,2026-04-05T00:00:00+00:00,AXP,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064824,24
C001047,Shelley Moore Capito,2026-02-24T00:00:00+00:00,2026-03-04T00:00:00+00:00,ITW,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064660,8
C001047,Shelley Moore Capito,2026-02-20T00:00:00+00:00,2026-03-04T00:00:00+00:00,PAYX,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064661,12
C001047,Shelley Moore Capito,2026-02-10T00:00:00+00:00,2026-03-04T00:00:00+00:00,BLK,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064662,22
C001047,Shelley Moore Capito,2026-02-10T00:00:00+00:00,2026-03-04T00:00:00+00:00,ADI,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064663,22
C001047,Shelley Moore Capito,2026-02-09T00:00:00+00:00,2026-03-04T00:00:00+00:00,AVGO,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064664,23
C001047,Shelley Moore Capito,2026-02-09T00:00:00+00:00,2026-03-04T00:00:00+00:00,GOOGL,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064665,23
C001047,Shelley Moore Capito,2026-01-28T00:00:00+00:00,2026-02-05T00:00:00+00:00,SBUX,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064549,8
C001047,Shelley Moore Capito,2025-12-11T00:00:00+00:00,2026-01-06T00:00:00+00:00,K,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064365,26
C001047,Shelley Moore Capito,2025-12-16T00:00:00+00:00,2026-01-06T00:00:00+00:00,MSFT,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064366,21
C001047,Shelley Moore Capito,2025-12-16T00:00:00+00:00,2026-01-06T00:00:00+00:00,AAPL,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064367,21
C001047,Shelley Moore Capito,2025-12-16T00:00:00+00:00,2026-01-06T00:00:00+00:00,GOOGL,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064368,21
C001047,Shelley Moore Capito,2025-11-13T00:00:00+00:00,2025-12-04T00:00:00+00:00,META,us_equity,buy,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064257,21
C001047,Shelley Moore Capito,2025-11-13T00:00:00+00:00,2025-12-04T00:00:00+00:00,PAYX,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064258,21
C001047,Shelley Moore Capito,2025-11-13T00:00:00+00:00,2025-12-04T00:00:00+00:00,LOW,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064259,21
C001047,Shelley Moore Capito,2025-10-29T00:00:00+00:00,2025-11-04T00:00:00+00:00,C,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064160,6
C001047,Shelley Moore Capito,2025-10-29T00:00:00+00:00,2025-11-04T00:00:00+00:00,IBM,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/10000064161,6
C001047,Shelley Moore Capito,2025-10-29T00:00:00+00:00,2025-11-04T00:00:00+00:00,MSFT,us_equity,sell,15K–50K,32500.0,https://www.capitoltrades.com/trades/10000064162,6
C001047,Shelley Moore Capito,2025-10-17T00:00:00+00:00,2025-11-04T00:00:00+00:00,CVX,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064163,18
C001047,Shelley Moore Capito,2025-10-17T00:00:00+00:00,2025-11-04T00:00:00+00:00,COST,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064164,18
C001047,Shelley Moore Capito,2025-10-20T00:00:00+00:00,2025-11-04T00:00:00+00:00,LOW,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064165,15
C001047,Shelley Moore Capito,2025-10-21T00:00:00+00:00,2025-11-04T00:00:00+00:00,LOW,us_equity,sell,1K–15K,8000.0,https://www.capitoltrades.com/trades/10000064166,14
